id_devis,nom_fournisseur,type,prix_revient_eur,dimensions_cm,dimensions_in,poids_kg,matieres,coloris_reels,delai_fournisseur,images_source,angles_manquants,donnees_manquantes,prix_eur,compare_at_eur,multiple_du_cout,usd_approx,nom_marque,usd_fixe,gbp_fixe,cad_fixe,aud_fixe,visibilite,handle_shopify,id_shopify,statut_shopify
09,Oreiller ergonomique de soutien cervical (« Derila »),pillow-cervical,"25,00",62 × 42 × 13/11,24.4 × 16.5 × 5.1/4.3,"1,4",mousse à mémoire de forme (devis) ; technologie rafraîchissante ; housse incluse (devis),"bleu marine, blanc, gris, bleu clair",6–10 j,4 (2 propres),"dessus, macro, housse ouverte","on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","69,90",—,×2.80,≈ 81,Neck 01,79.99,59.99,108.99,120.99,accueil + pub,neck-01,9042360369309,DRAFT
12,Oreiller confort ergonomique (« Cloudii »),pillow-contour,"19,00",60 × 35 × 10,23.6 × 13.8 × 3.9,"1,1","housse lavable, surface au toucher frais (devis) ; housse incluse (devis)","gris, blanc, bleu, rose, bleu marine",6–10 j,"11 (5 propres, 6 avec faux badges)","dessus, macro, housse ouverte","on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","59,90",—,×3.15,≈ 69,Contour 01,68.99,50.99,93.99,103.99,catalogue,contour-01,9042360500381,DRAFT
10,Oreiller pour dormeurs latéraux (« Derila »),pillow-side,"20,00",60 (L) — profil 10 cm,23.6 (L) — 3.9 profile,— (absent du devis),mousse à mémoire de forme (devis) ; housse incluse (devis),"bleu, rouge, gris foncé",6–10 j,"6 (0 propre, 2 sont la variante 50 cm écartée)",toutes vues sans cotes,"on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","54,90",—,×2.75,≈ 64,Side 01,62.99,46.99,85.99,94.99,"catalogue, jamais en pub",side-01,9042360598685,DRAFT
11,Oreiller corporel ergonomique en S (« Snuggi »),pillow-body,"24,00",120 (L) × ~30,47.2 (L) × ~11.8,"1,8","housse amovible lavable, tissu respirant toucher frais (devis) ; housse incluse (devis)","bleu clair, rose, bleu ciel, gris, bleu très clair, bleu marine, vert menthe, beige/abricot",6–10 j,8 (8 propres),"3/4, macro, housse ouverte","on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","69,90",—,×2.91,≈ 81,Body 01,79.99,59.99,108.99,120.99,accueil + pub,body-01,9042360696989,DRAFT
01,Oreiller ergonomique pour téléphone au lit,pillow-reading,"19,50",60 × 37 × 23,23.6 × 14.6 × 9.1,"1,1",— (le devis ne précise pas),"bleu clair, gris, beige, rose, vert, jaune, noir",6–10 j,6 (1 propre),"3/4 sans cotes, macro","on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","54,90",—,×2.82,≈ 64,Lounge 01,62.99,46.99,85.99,94.99,"catalogue, jamais en pub",lounge-01,9042360828061,DRAFT
02,"Couverture effet fourrure de lapin, texture bulles",blanket,"19,00",200 × 230,78.7 × 90.6,"3,2","effet fourrure de lapin, surface gaufrée bulles (devis)","blanc crème, rose, beige, vert anis, vert sauge, bleu ardoise, bleu clair, jaune, gris, orange saumon",6–10 j,10 (0 propre : visage sur chaque photo),"packshot plié, macro trame","on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","59,90",—,×3.15,≈ 69,Throw 01,68.99,50.99,93.99,103.99,"catalogue, saison",throw-01,9042360959133,DRAFT
03,Masque de sommeil 3D ajustable,mask,"6,00","57 × 8,5 (L)",22.4 × 3.3,"0,07",— (le devis ne précise pas),"noir, violet, gris chiné, gris clair, bleu marine, rose, blanc",6–10 j,7 (6 propres),"porté de profil (sans visage), macro","on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","19,90",—,×3.32,≈ 23,Mask 01,22.99,16.99,30.99,33.99,ajout fiche + panier,mask-01,9042361090205,DRAFT
04,Bouchons d’oreilles anti-bruit avec étui (2 paires),earplugs,"6,00",—,—,"0,02",— (le devis ne précise pas),"bleu, vert, jaune lait, rose",6–10 j,4 (0 propre : marque tierce iMeBoBo sur la boîte),tout,"emballage de marque tierce (iMeBoBo) : accepté par le fondateur, vendu surtout en pack","14,90",—,×2.48,≈ 17,Quiet 01,16.99,11.99,22.99,24.99,ajout fiche + panier,quiet-01,9042361155741,DRAFT
05,Housse de rechange coton pour oreiller corporel,cover-body,"3,00",120 (L),47.2 (L),"1,8 (?)",coton (devis),"bleu clair, rose, bleu ciel, gris, bleu très clair, bleu marine, vert menthe, beige/abricot",6–10 j,0 dédiée (photos du 11),toutes,"on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","16,90",—,×5.63,≈ 20,Cover for Body 01,18.99,13.99,25.99,28.99,ajout fiche + panier,cover-body,9042361483421,DRAFT
06,Housse de rechange rafraîchissante pour oreiller confort,cover-contour,"3,00","68 × 37 × 11,5",26.8 × 14.6 × 4.5,"1,2 (?)",tissu rafraîchissant (devis),"gris, blanc, bleu, rose, bleu marine",6–10 j,0 dédiée,toutes,"on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","16,90",—,×5.63,≈ 20,Cover for Contour 01,18.99,13.99,25.99,28.99,ajout fiche + panier,cover-contour,9042361319581,DRAFT
07,Housse de rechange rafraîchissante pour oreiller cervical,cover-cervical,"3,00",63 × 39 × 13,24.8 × 15.4 × 5.1,"1,3 (?)","gel rafraîchissant, évacuation de l’humidité (devis)","bleu, blanc, bleu marine, rose",6–10 j,0 dédiée,toutes,"on avance avec les données du devis ; les tarifs de port sont forfaitaires, un poids manquant ne change rien","16,90",—,×5.63,≈ 20,Cover for Neck 01,18.99,13.99,25.99,28.99,ajout fiche + panier,cover-neck,9042361188509,DRAFT
